Position,Track Name,Artist,Streams,URL,Date,Unique ID
190,Ne reviens pas,Gradur,4676857,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH,01.02.20,
191,SLOW DANCING IN THE DARK,Joji,4672168,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,01.02.20,
192,Fantasía,Ozuna,4659704,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr,01.02.20,
193,Another One Bites The Dust - Remastered 2011,Queen,4655115,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,01.02.20,
194,wish you were gay,Billie Eilish,4650306,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD,01.02.20,
195,New Rules,Dua Lipa,4630675,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O,01.02.20,
196,Cheirosa - Ao Vivo,Jorge & Mateus,4623030,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da,01.02.20,
197,Havana (feat. Young Thug),Camila Cabello,4620876,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,01.02.20,
198,Surtada - Remix Brega Funk,Dadá Boladão,4607385,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r,01.02.20,
199,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,4595450,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0,01.02.20,
200,Going Bad (feat. Drake),Meek Mill,4551623,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,01.02.20,
Position,Track Name,Artist,Streams,URL,Date,
1,Dance Monkey,Tones And I,50241241,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,01.09.20,
2,Yummy,Justin Bieber,36772939,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,01.09.20,
3,ROXANNE,Arizona Zervas,33546219,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,01.09.20,
4,The Box,Roddy Ricch,32333490,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,01.09.20,
5,Tusa,KAROL G,29519007,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,01.09.20,
6,Blinding Lights,The Weeknd,29198353,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,01.09.20,
7,Falling,Trevor Daniel,28253241,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,01.09.20,
8,Don't Start Now,Dua Lipa,27338884,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,01.09.20,
9,Memories,Maroon 5,27008690,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,01.09.20,
10,Circles,Post Malone,26365136,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,01.09.20,
11,everything i wanted,Billie Eilish,23713150,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,01.09.20,
12,Señorita,Shawn Mendes,21757299,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,01.09.20,
13,RITMO (Bad Boys For Life),Black Eyed Peas,20528253,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,01.09.20,
14,Someone You Loved,Lewis Capaldi,19959201,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,01.09.20,
15,My Oh My (feat. DaBaby),Camila Cabello,19300578,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,01.09.20,
