,,Position,Position,Position
,,count,min,max
JACKBOYS,JACKBOYS,1,88,88
JACKBOYS,OUT WEST (feat. Young Thug),38,6,197
JACKBOYS,WHAT TO DO? (feat. Don Toliver),3,18,150
JP Saxe,If the World Was Ending - feat. Julia Michaels,50,47,191
Jack Harlow,WHATS POPPIN,39,6,107
Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",18,2,196
James Arthur,Say You Won't Let Go,24,159,200
James Arthur,Train Wreck,1,95,95
Jameson Rodgers,Some Girls,1,197,197
Jason Aldean,Got What I Got,3,152,190
Jason Derulo,Take You Dancing,9,110,163
Jawsh 685,Savage Love (Laxed - Siren Beat),19,9,94
Jawsh 685,Savage Love (Laxed – Siren Beat) [BTS Remix],1,77,77
Jeremy Zucker,not ur friend,1,189,189
Jeremy Zucker,you were good to me,1,200,200
Jeremy Zucker,you were good to me (bonus track),2,166,199
Jhay Cortez,CÓMO SE SIENTE - Remix,1,127,127
Jhay Cortez,No Me Conoce - Remix,6,159,191
Jhené Aiko,B.S. (feat. H.E.R.),12,38,194
Jhené Aiko,Happiness Over Everything (H.O.E.) (feat. Future & Miguel),1,76,76
Jhené Aiko,None Of Your Concern,1,53,53
Jhené Aiko,None Of Your Concern (feat. Big Sean),1,127,127
Jhené Aiko,P*SSY Fairy (OTW),5,110,172
Jhené Aiko,Triggered (freestyle),1,133,133
Joel Corry,Head & Heart (feat. MNEK),11,58,164
John Lennon,Happy Xmas (War Is Over) - Remastered 2010,4,32,99
Joji,777,1,119,119
Joji,Afterthought,1,70,70
Joji,Daylight,3,36,153
Joji,Ew,2,27,188
Joji,Gimme Love,7,29,200
Joji,High Hopes (feat. Omar Apollo),1,107,107
Joji,Like You Do,1,88,88
Joji,MODUS,1,47,47
Joji,Mr. Hollywood,1,112,112
Joji,NITROUS,1,94,94
Joji,Normal People (feat. rei brown),1,114,114
Joji,Pretty Boy (feat. Lil Yachty),1,67,67
Joji,Reanimator (feat. Yves Tumor),1,183,183
Joji,Run,5,16,168
Joji,SLOW DANCING IN THE DARK,52,72,141
Joji,Sanctuary,1,65,65
Joji,Tick Tock,1,57,57
Joji,Upgrade,1,101,101
Joji,Your Man,4,31,183
Jonas Brothers,Like It's Christmas,4,65,125
Jonas Brothers,Sucker,23,116,197
Jonas Brothers,What A Man Gotta Do,10,27,137
Jonas Brothers,X (with KAROL G),2,78,180
Jonathan Groff,Lost in the Woods,1,158,158
Jonathan Groff,You'll Be Back,3,106,149
José Feliciano,Feliz Navidad,4,24,75
Journey,Don't Stop Believin',7,179,199
Joyner Lucas,Revenge,1,116,116
Joyner Lucas,Will,1,128,128
Joyner Lucas,Will - Remix,2,93,187
Judy Garland,Have Yourself A Merry Little Christmas,3,83,181
Juice WRLD,All Girls Are The Same,51,17,177
Juice WRLD,Anxiety - Intro,2,26,190
Juice WRLD,Armed And Dangerous,48,36,195
Juice WRLD,Bad Energy,8,10,167
Juice WRLD,Bandit (with YoungBoy Never Broke Again),52,2,110
Juice WRLD,Black & White,2,83,160
Juice WRLD,Blood On My Jeans,11,8,172
Juice WRLD,Can't Die,6,20,189
Juice WRLD,Come & Go (with Marshmello),15,1,20
Juice WRLD,Conversations,15,3,80
Juice WRLD,Empty,2,97,169
Juice WRLD,Fast,1,107,107
Juice WRLD,Feeling,1,130,130
Juice WRLD,Fighting Demons,6,14,183
Juice WRLD,Hate The Other Side (with Marshmello & The Kid Laroi),15,5,77
Juice WRLD,Hear Me Calling,1,114,114
Juice WRLD,Hide (feat. Seezyn),1,153,153
Juice WRLD,I Want It,4,17,144
Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1,34,34
Juice WRLD,Lean Wit Me,40,34,198
Juice WRLD,Legends,33,19,196
Juice WRLD,Let Me Know (I Wonder Why Freestyle),10,37,183
Juice WRLD,Life's A Mess (feat. Halsey),16,4,179
Juice WRLD,Lucid Dreams,52,3,87
Juice WRLD,Man Of The Year,9,18,186
Juice WRLD,Righteous,26,2,90
Juice WRLD,Robbery,52,8,104
Juice WRLD,Screw Juice,5,16,173
Juice WRLD,Smile (with The Weeknd),11,2,42
Juice WRLD,Stay High,11,13,170
Juice WRLD,Tell Me U Luv Me (with Trippie Redd),16,10,193
Juice WRLD,"The Man, The Myth, The Legend - Interlude",1,35,35
Juice WRLD,Titanic,8,9,192
Juice WRLD,Up Up And Away,7,15,161
Juice WRLD,Wasted (feat. Lil Uzi Vert),2,93,195
Juice WRLD,Wishing Well,15,1,18
Justin Bieber,All Around Me,1,48,48
Justin Bieber,At Least For Now,1,136,136
Justin Bieber,Available,1,65,65
Justin Bieber,Changes,1,92,92
Justin Bieber,Come Around Me,2,37,190
Justin Bieber,Confirmation,1,87,87
Justin Bieber,E.T.A.,1,99,99
Justin Bieber,Forever (feat. Post Malone & Clever),8,7,91
Justin Bieber,Get Me,1,38,38
Justin Bieber,Get Me (feat. Kehlani),1,62,62
Justin Bieber,Habitual,1,47,47
Justin Bieber,Holy (feat. Chance The Rapper),5,3,10
Justin Bieber,Intentions,1,3,3
Justin Bieber,Intentions (feat. Quavo),36,2,110
Justin Bieber,Lonely (with benny blanco),1,8,8
Justin Bieber,Mistletoe,6,25,195
Justin Bieber,Running Over (feat. Lil Dicky),1,56,56
