Unnamed: 0,Unnamed: 1,Unnamed: 2,,,,
Position,Track Name,Artist,Streams,URL,Date,Unique ID
153,Better,Khalid,1759779,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,01.02.20,01.02.20_153
154,Graduation (with Juice WRLD),benny blanco,1757969,https://open.spotify.com/track/6cjSh516BbrNUs213jDAGm,01.02.20,01.02.20_154
155,Envy Me,Calboy,1753086,https://open.spotify.com/track/7rvyVWja33WG9R97oeJAjx,01.02.20,01.02.20_155
156,Mean It,Lauv,1745932,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX,01.02.20,01.02.20_156
157,Speechless,Dan + Shay,1735877,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF,01.02.20,01.02.20_157
158,You Need To Calm Down,Taylor Swift,1730034,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5,01.02.20,01.02.20_158
159,Beautiful Crazy,Luke Combs,1722666,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde,01.02.20,01.02.20_159
160,LA CANCIÓN,J Balvin,1721121,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,01.02.20,01.02.20_160
161,Faucet Failure,Ski Mask The Slump God,1716148,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN,01.02.20,01.02.20_161
162,High Hopes,Panic! At The Disco,1708998,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,01.02.20,01.02.20_162
163,Callaita,Bad Bunny,1708689,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,01.02.20,01.02.20_163
164,Love Me More,Trippie Redd,1704831,https://open.spotify.com/track/6uYgCE2OEulOw5zhHvZsHf,01.02.20,01.02.20_164
165,BEST ON EARTH (feat. BIA) - Bonus,Russ,1704346,https://open.spotify.com/track/2Xo3rLHjXfdb4avN68aQyi,01.02.20,01.02.20_165
166,Look At Her Now,Selena Gomez,1688052,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m,01.02.20,01.02.20_166
167,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,1687574,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,01.02.20,01.02.20_167
