Unnamed: 0,Unnamed: 1,Unnamed: 2,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,Unnamed: 4
Position,Track Name,Artist,Streams,URL
75,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2505716,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
76,The London (feat. J. Cole & Travis Scott),Young Thug,2472331,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
77,July,Noah Cyrus,2471620,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
78,ORANGE SODA,Baby Keem,2428697,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD
79,Peta (feat. Meek Mill),Roddy Ricch,2424064,https://open.spotify.com/track/4bl1HBZliBuYpFZjWgefE4
80,SLOW DANCING IN THE DARK,Joji,2418211,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
81,lovely (with Khalid),Billie Eilish,2410503,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
82,Drip Too Hard (Lil Baby & Gunna),Lil Baby,2396135,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
83,Tusa,KAROL G,2380465,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
84,Going Bad (feat. Drake),Meek Mill,2364631,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
85,Panini,Lil Nas X,2341902,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
86,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,2339104,https://open.spotify.com/track/6ztvsy3C6hPjVg9j4x1XKJ
87,Old Town Road - Remix,Lil Nas X,2330214,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
88,JACKBOYS,JACKBOYS,2322556,https://open.spotify.com/track/62zKJrpbLxz6InR3tGyr7o
89,rockstar (feat. 21 Savage),Post Malone,2319039,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
90,6 Kiss,Trippie Redd,2312011,https://open.spotify.com/track/7tgjDlQsMR8RvkdlNCJA58
91,Lalala,Y2K,2310821,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
92,SAD!,XXXTENTACION,2307772,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
93,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,2286767,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
94,Talk (feat. Disclosure),Khalid,2284214,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
