Position,Track Name,Artist,Streams,URL,Date,Unique ID,Year,Month,Day,Full_Year,Reformatted_Date
114,Liar,Camila Cabello,6102634,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA,01.02.20,01.02.20_114,20,1,2,2020,20200102
115,Woah,Lil Baby,6080808,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F,01.02.20,01.02.20_115,20,1,2,2020,20200102
116,High Hopes,Panic! At The Disco,6066722,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,01.02.20,01.02.20_116,20,1,2,2020,20200102
117,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,6052309,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,01.02.20,01.02.20_117,20,1,2,2020,20200102
118,Higher Love,Kygo,6027989,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,01.02.20,01.02.20_118,20,1,2,2020,20200102
119,July,Noah Cyrus,6002645,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr,01.02.20,01.02.20_119,20,1,2,2020,20200102
120,Suge,DaBaby,5976571,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,01.02.20,01.02.20_120,20,1,2,2020,20200102
121,Que Calor (with J Balvin & El Alfa),Major Lazer,5886683,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3,01.02.20,01.02.20_121,20,1,2,2020,20200102
122,Better Now,Post Malone,5815158,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,01.02.20,01.02.20_122,20,1,2,2020,20200102
123,223's (feat. 9lokknine),YNW Melly,5802073,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T,01.02.20,01.02.20_123,20,1,2,2020,20200102
124,Family,The Chainsmokers,5767152,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL,01.02.20,01.02.20_124,20,1,2,2020,20200102
125,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,5759111,https://open.spotify.com/track/7ntUbTIwmwOD6ygCMRZT6e,01.02.20,01.02.20_125,20,1,2,2020,20200102
126,Legends,Juice WRLD,5721876,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa,01.02.20,01.02.20_126,20,1,2,2020,20200102
127,Say So,Doja Cat,5656539,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,01.02.20,01.02.20_127,20,1,2,2020,20200102
128,Candy,Doja Cat,5632102,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be,01.02.20,01.02.20_128,20,1,2,2020,20200102
