Position,Track Name,Artist,Streams,URL,Date,Unique ID,Year,Month,Day,Full_Year,Reformatted_Date
151,Fuck Love (feat. Trippie Redd),XXXTENTACION,1774438,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,01.02.20,01.02.20_151,20,01,02,2020,20200102
152,Bad Bad Bad (feat. Lil Baby),Young Thug,1768678,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH,01.02.20,01.02.20_152,20,01,02,2020,20200102
153,Better,Khalid,1759779,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,01.02.20,01.02.20_153,20,01,02,2020,20200102
154,Graduation (with Juice WRLD),benny blanco,1757969,https://open.spotify.com/track/6cjSh516BbrNUs213jDAGm,01.02.20,01.02.20_154,20,01,02,2020,20200102
155,Envy Me,Calboy,1753086,https://open.spotify.com/track/7rvyVWja33WG9R97oeJAjx,01.02.20,01.02.20_155,20,01,02,2020,20200102
156,Mean It,Lauv,1745932,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX,01.02.20,01.02.20_156,20,01,02,2020,20200102
157,Speechless,Dan + Shay,1735877,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF,01.02.20,01.02.20_157,20,01,02,2020,20200102
158,You Need To Calm Down,Taylor Swift,1730034,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5,01.02.20,01.02.20_158,20,01,02,2020,20200102
159,Beautiful Crazy,Luke Combs,1722666,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde,01.02.20,01.02.20_159,20,01,02,2020,20200102
160,LA CANCIÓN,J Balvin,1721121,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,01.02.20,01.02.20_160,20,01,02,2020,20200102
